sample	batch	variable	value
32161045_EXO_S12	181004-190521	mainPeakMiRNAlength	81.7568099519521
32170383_EXO_S25	181004-190521	mainPeakMiRNAlength	82.11381423456318
32170272_EXO_S24	181004-190521	mainPeakMiRNAlength	80.07353453413937
32160628_EXO_S6	181004-190521	mainPeakMiRNAlength	81.29791125839783
32161104_EXO_S15	181004-190521	mainPeakMiRNAlength	79.50121350965136
32161237_EXO_S16	181004-190521	mainPeakMiRNAlength	80.7603788636963
32170016_EXO_S20	181004-190521	mainPeakMiRNAlength	80.58260660110085
32161013_EXO_S11	181004-190521	mainPeakMiRNAlength	82.37258094433338
32170385_EXO_S26	181004-190521	mainPeakMiRNAlength	80.55755719009788
32150161_EXO_S32	181004-190521	mainPeakMiRNAlength	79.7908052793832
32160612_EXO_S4	181004-190521	mainPeakMiRNAlength	80.75939858733447
32161253_EXO_S18	181004-190521	mainPeakMiRNAlength	79.7293629435415
32170268_EXO_S22	181004-190521	mainPeakMiRNAlength	79.299800750965
32170269_EXO_S23	181004-190521	mainPeakMiRNAlength	76.06253676153027
32150116_EXO_S31	181004-190521	mainPeakMiRNAlength	81.13904070417344
32161004_EXO_S10	181004-190521	mainPeakMiRNAlength	81.49495328748162
32161392_EXO_S19	181004-190521	mainPeakMiRNAlength	76.52948484809403
32160765_EXO_S8	181004-190521	mainPeakMiRNAlength	76.4197419345873
32170450_EXO_S29	181004-190521	mainPeakMiRNAlength	80.81477838992474
32160373_EXO_S3	181004-190521	mainPeakMiRNAlength	76.06935622990669
32160284_EXO_S1	181004-190521	mainPeakMiRNAlength	79.98876825159117
32170409_EXO_S27	181004-190521	mainPeakMiRNAlength	77.6162028890945
32170083_EXO_S21	181004-190521	mainPeakMiRNAlength	80.53740294960386
32161065_EXO_S14	181004-190521	mainPeakMiRNAlength	83.10205833063034
32150978_EXO_S34	181004-190521	mainPeakMiRNAlength	68.73160516187457
32161046_EXO_S13	181004-190521	mainPeakMiRNAlength	76.1764095923601
32160670_EXO_S7	181004-190521	mainPeakMiRNAlength	45.88572775856649
32170652_EXO_S30	181004-190521	mainPeakMiRNAlength	81.8980594672598
32150704_EXO_S33	181004-190521	mainPeakMiRNAlength	82.81323443264495
32170378_EXO_S26	181023-190319	mainPeakMiRNAlength	81.72726330405543
32161454_EXO_S20	181023-190319	mainPeakMiRNAlength	83.27942437801761
32160526_EXO_S15	181023-190319	mainPeakMiRNAlength	69.39604936795864
32152086_EXO_S7	181023-190319	mainPeakMiRNAlength	83.87212003658658
32151130_EXO_S2	181023-190319	mainPeakMiRNAlength	84.11188479617336
32151185_EXO_S4	181023-190319	mainPeakMiRNAlength	82.1550257977824
32170440_EXO_S27	181023-190319	mainPeakMiRNAlength	83.16484899901599
32152175_EXO_S9	181023-190319	mainPeakMiRNAlength	83.2695358656762
32152337_EXO_S10	181023-190319	mainPeakMiRNAlength	83.07591339156205
32151033_EXO_S1	181023-190319	mainPeakMiRNAlength	86.4756938661704
32170273_EXO_S23	181023-190319	mainPeakMiRNAlength	82.86576345828523
32152088_EXO_S8	181023-190319	mainPeakMiRNAlength	79.32353334253283
32151825_EXO_S6	181023-190319	mainPeakMiRNAlength	81.21326860430226
32151151_EXO_S3	181023-190319	mainPeakMiRNAlength	83.69069154591733
32170329_EXO_S24	181023-190319	mainPeakMiRNAlength	81.12755630371606
32170337_EXO_S25	181023-190319	mainPeakMiRNAlength	81.4960726133496
32160079_EXO_S13	181023-190319	mainPeakMiRNAlength	82.09869124852487
32152347_EXO_S11	181023-190319	mainPeakMiRNAlength	82.08709617966878
32160791_EXO_S16	181023-190319	mainPeakMiRNAlength	82.01663277429135
32161000_EXO_S17	181023-190319	mainPeakMiRNAlength	83.48275903734279
32160288_EXO_S14	181023-190319	mainPeakMiRNAlength	82.14310253953553
32170032_EXO_S21	181023-190319	mainPeakMiRNAlength	80.26029789648153
32170447_EXO_S28	181023-190319	mainPeakMiRNAlength	81.35056977003303
32160018_EXO_S12	181023-190319	mainPeakMiRNAlength	77.06145027288946
32170073_EXO_S22	181023-190319	mainPeakMiRNAlength	82.0524305219551
32161249_EXO_S19	181023-190319	mainPeakMiRNAlength	84.45448929914993
32151764_EXO_S5	181023-190319	mainPeakMiRNAlength	80.542198919127
32161037_EXO_S18	181023-190319	mainPeakMiRNAlength	67.04979295020705

