sample	batch	readsRaw	reads	readsUnique	microRNAPerc	readsAdapterFound	readsAdapterFoundPerc	miRNAexprTop1	miRNAexprTop5	miRNAexprTop20	miRNAexprp50	miRNAexprp75	miRNAexprp95	miRNAper1k	adapterDimerPerc	ultraShortReadsPerc	shortReadsPerc	refSpecies	unmapped	bacteria	virus	stdDevMiRNAlength	mainPeakMiRNAlength	absskewnessMiRNAlength	meanofp50	meanofp10	meanofp25	meanofp75	meanofp90	readsPerc
32141753_EXO_S10	180322-190603	1.0755183E7	8890176.0	803047.0	3.793310728606486	1.0348243E7	96.21633588196501	16.733669742025242	57.35043912125393	88.09943425432806	5.0	10.0	40.0	0.6630567111509025	1.3122653049259758	10.34398261455405	13.687044086652973	0.631202351899445	97.02605437732616	2.2847016751974314	0.05804159557696045	1.2864753921296028	79.46226801188634	0.19228810502418417	35.5	20775	35.2	35.5	35.5	82.65945823515973
32150101_EXO_S3	180322-190603	8824169.0	6757384.0	788983.0	22.839903726057113	8455133.0	95.81789514684046	17.003435596831157	61.06891693069384	90.6681450890946	4.0	8.0	33.0	0.23029397187688938	0.11564570829926281	4.498608172212029	3.1383842827982904	30.436319735566308	52.59236414565163	16.477530357901816	0.4937857608802461	1.0031886142095063	84.69946630265838	0.2682941625703163	35.5	19525	35.2	35.5	35.5	76.57813443962826
32151828_EXO_S15	180322-190603	8433826.0	7074219.0	946948.0	2.105235927810539	8139540.0	96.51064653219073	17.472870819706916	60.36615521127433	88.33013728689049	4.0	9.0	38.0	1.3667860303912316	0.7102850000552101	4.024064073909392	8.145540354966096	9.2995141937223	71.80975030600551	18.227736517628294	0.6629989826438795	1.2253133764900197	81.90833898851717	0.19781249763294845	35.5	18.55	35.0	35.5	35.5	83.8791196308769
32152118_EXO_S1	180322-190603	2.6311104E7	1.9772328E7	2711783.0	0.9691726740523507	2.5131485E7	95.5166495484188	16.49684744698589	61.9044761673204	89.72347530205661	4.0	9.0	36.0	1.5318142771323529	0.0638953746718237	1.500055307955793	4.6825726572799455	0.9735221871698668	93.5540721355624	5.4040272850015425	0.06837839226620154	1.2315857533914238	82.47941660785698	0.21180307959129321	35.5	18.7	35.1	35.5	35.5	75.14822639141254
32151204_EXO_S9	180322-190603	9778648.0	8051909.0	694750.0	10.610775655810388	9467956.0	96.82275095698301	14.264371320683914	59.07786546895888	88.62069446724676	5.0	10.0	41.0	0.2990360485024744	0.5629964991087827	11.52388883878847	10.775683337587623	17.022323526011032	66.31116918981573	15.721687863089368	0.94481942108387	1.1181266283676208	81.79397069634805	0.23963626334225233	35.5	23.0875	35.3	35.5	35.5	82.34174090324143
32151684_EXO_S13	180322-190603	1.4332957E7	1.1565066E7	915334.0	18.81057142259262	1.3908123E7	97.03596403728832	15.727187283632585	60.78073699124723	89.25734245397037	4.0	8.0	36.0	0.13859209831010696	0.5054579059129936	11.61414932606879	10.689263405716877	2.0844411955798607	93.97308238448444	3.8272760397562795	0.11520038017941273	1.1012407774000539	82.39441864399456	0.23327702780782322	35.5	25.2	35.5	35.5	35.5	80.68862552228406
32150228_EXO_S18	180322-190603	8686123.0	7358759.0	636789.0	19.472427348143807	8421479.0	96.9532552094876	16.22600998679873	55.927727876895204	86.57981960679007	5.0	11.0	41.0	0.2271343928973383	0.3498909919698883	5.875551300036559	8.986953569294613	14.885037001483537	73.98259679383439	10.68894904697925	0.44341715770281387	1.0866013164941242	83.44676535520125	0.22566822573643408	35.5	26475	35.5	35.5	35.5	84.7185677660793
32152206_EXO_S33	180322-190603	2.341954E7	1.6081214E7	1446657.0	3.8379627309231745	2.232819E7	95.34000240824543	13.458641838852502	56.005833287703155	88.26828176660682	5.0	10.0	38.0	0.5093224311212604	0.2220833872905426	3.5855739407165537	6.62789922179	2.5658013132590614	88.74680729949866	8.435358176316786	0.25203321092549347	1.1472453180466247	82.32175905668511	0.2222238227041037	35.5	27425	35.5	35.5	35.5	68.66579787647409
32151642_EXO_S5	180322-190603	1.8600079E7	1.6534379E7	1538199.0	2.7017767041628735	1.7850793E7	95.9715977550418	17.684590390723834	60.24263240286512	90.55779627387983	4.0	8.0	32.0	0.4755490429859929	0.20850348819796172	2.723712566688037	6.736298151417396	6.7876876416102485	81.22119373216255	11.597206039609945	0.39391258661725354	1.3197165675278042	82.3117145421903	0.12244550174421438	35.5	20225	35.1	35.5	35.5	88.89413319158483
32151157_EXO_S31	180322-190603	1.8273503E7	1.3806838E7	1326340.0	1.2025490557649767	1.7588308E7	96.25033580042097	12.481223815779854	50.11931021621056	83.3162756404299	5.0	13.0	53.0	1.6060286039190281	0.3453312646915152	5.375976469813848	10.309703593452614	8.167460210657936	63.6541328289649	26.926375177285358	1.2520317830918275	1.397448241459922	79.9503964662008	0.08242192274707141	35.5	26475	35.5	35.5	35.5	75.55660236573141
32151086_EXO_S6	180322-190603	9761436.0	7903471.0	737245.0	8.976106826987788	9441483.0	96.72227528818506	12.971667735445322	57.488369728260025	87.67289898796051	5.0	10.0	40.0	0.3758777327953872	0.3020878342604664	4.2231052981698	7.634289143525182	1.7873286306737888	91.40487767969289	6.720389054378766	0.08740463525456094	1.1338489025735687	81.77807988131468	0.21810551259167588	35.5	26325	35.5	35.5	35.5	80.96627381463138
32150688_EXO_S20	180322-190603	5979350.0	4929128.0	496632.0	12.162110620783109	5780822.0	96.67977288501258	17.389317377456642	55.20066647607868	86.7943840553352	5.0	11.0	44.0	0.43148218445181064	0.8949385776207822	8.207334690284352	10.600463733523242	7.375138158311167	83.26381461386273	8.961402503647706	0.39964472417839425	1.1639847668033094	80.63478397255565	0.20653046639504205	35.5	20.0	35.2	35.5	35.5	82.43585005059079
