name	180322-190603	180626-180628-190531	180726-190530	180913-190529	180919-190527	181003-190524	181004-190521	181023-190319
Hsa-Mir-15-P2d_5p	1027	56	3732	1174	1692	1969	3154	2772
Hsa-Mir-150_3p*	5	1	12	8	3	21	11	42
Hsa-Mir-150_5p	798	29	2469	1478	3542	3576	3849	3698
Hsa-Mir-153-P1_3p	256	30	1184	372	2397	2325	2147	3926
Hsa-Mir-153-P1_5p*	96	4	156	50	394	188	216	129
Hsa-Mir-153-P2_3p	256	30	1184	372	2397	2325	2147	3926
Hsa-Mir-153-P2_5p*		4	68	144	97	245	153	206
Hsa-Mir-154-P1_3p	76	1	1212	370	888	927	1417	1040
Hsa-Mir-154-P1_5p	52	3	158	22	90	87	51	
Hsa-Mir-154-P10_3p	2690	6	3950	1299	4228	9731	9503	14629
Hsa-Mir-154-P10_5p	4685	51	13695	5843	13238	24134	28941	20535
Hsa-Mir-154-P12_3p	350	12	1869	504	3441	2005	3160	2207
Hsa-Mir-154-P12_5p*			17	24	28	19	134	86
Hsa-Mir-154-P13_3p*	360		990	522	1667	1692	2310	2169
Hsa-Mir-154-P13_5p	2778	19	8668	4371	23453	16836	25318	19567
Hsa-Mir-154-P14_3p*			14	26	7	20	14	
Hsa-Mir-154-P14_5p	515	14	1062	491	1262	2172	2727	2019
Hsa-Mir-154-P15_3p*	2893	41	12750	5509	11824	20090	21691	14761
Hsa-Mir-154-P15_5p	6816	82	9248	3101	7462	20373	20546	26206
Hsa-Mir-154-P16_3p	203	13	1529	363	2173	1551	1729	1668
Hsa-Mir-154-P16_5p	224	4	575	254	792	827	1016	314
Hsa-Mir-154-P17_3p	27594	144	74879	30666	106971	125212	159698	132977
Hsa-Mir-154-P17_5p*	59	1	200	100	306	412	505	71
Hsa-Mir-154-P18_3p	678	56	3326	1341	4011	4236	5506	2514
Hsa-Mir-154-P18_5p*							13	
Hsa-Mir-154-P19_3p	3755	91	20229	8909	28028	21471	31436	19765
Hsa-Mir-154-P19_5p*	1			7	22	37	16	117
Hsa-Mir-154-P2-v1_3p	36	1	133	36	275	234	115	407
Hsa-Mir-154-P2-v1_5p*	119	3	700	236	793	657	870	278
Hsa-Mir-154-P2-v2_3p*	36	1	133	36	275	234	115	407
Hsa-Mir-154-P2-v2_5p	119	4	700	236	793	657	870	278
Hsa-Mir-154-P20-v1_3p	56		118	93	234	158	191	160
Hsa-Mir-154-P20-v1_5p*					22	23	17	
Hsa-Mir-154-P20-v2_3p	56		118	93	234	158	191	160
Hsa-Mir-154-P20-v2_5p*					22	23	17	
Hsa-Mir-154-P21_3p	345	8	1469	569	3744	2506	3636	2332
Hsa-Mir-154-P21_5p*	492	38	1575	544	1999	1865	2134	2003
Hsa-Mir-154-P22_3p	3724	69	14963	5890	11819	22693	25698	13996
Hsa-Mir-154-P22_5p*	54	3	141	72	250	352	432	251
Hsa-Mir-154-P23_3p	841	12	3935	1532	4202	3067	4799	2782
Hsa-Mir-154-P23_5p*	205	11	287	113	402	677	892	1141
Hsa-Mir-154-P24_3p	666	8	1879	663	2326	2954	3354	3095
Hsa-Mir-154-P24_5p*	8		8	5			27	
Hsa-Mir-154-P25_3p	1231	4	3515	1873	5928	5274	6535	4841
Hsa-Mir-154-P25_5p*			81	19	112	45	69	39
Hsa-Mir-154-P26_3p	15		135	67	61	231	114	198
Hsa-Mir-154-P26_5p*	110	1	318	183	333	529	351	439
Hsa-Mir-154-P27_3p	1692	5	2507	1255	6964	7778	8939	13515
Hsa-Mir-154-P27_5p*	30		31	18	53	72	60	79
