sample	batch		value
32160457_EXO_S12	180919-190527	ultraShortReadsPerc	53.14336359537422
32152446_EXO_S4	180919-190527	ultraShortReadsPerc	51.14248185384999
32160782_EXO_S17	180919-190527	ultraShortReadsPerc	49.474263009509336
32160083_EXO_S7	180919-190527	ultraShortReadsPerc	54.602150181543585
32170613_EXO_S32	180919-190527	ultraShortReadsPerc	56.20742918503319
32160323_EXO_S11	180919-190527	ultraShortReadsPerc	47.53943848252293
32170644_EXO_S33	180919-190527	ultraShortReadsPerc	50.06590803163217
32160600_EXO_S15	180919-190527	ultraShortReadsPerc	50.49958010605744
32161358_EXO_S20	180919-190527	ultraShortReadsPerc	61.658133124882504
32160028_EXO_S6	180919-190527	ultraShortReadsPerc	50.31604573764457
32160766_EXO_S16	180919-190527	ultraShortReadsPerc	59.84294820037986
32170346_EXO_S25	180919-190527	ultraShortReadsPerc	51.60364750887439
32170068_EXO_S23	180919-190527	ultraShortReadsPerc	61.88720740007971
32160009_EXO_S30	181003-190524	ultraShortReadsPerc	28.023516586725904
32152260_EXO_S26	181003-190524	ultraShortReadsPerc	30.064417053110006
32152408_EXO_S29	181003-190524	ultraShortReadsPerc	15.58930996894346
32160078_EXO_S32	181003-190524	ultraShortReadsPerc	25.605158604734793
32150179_EXO_S2	181003-190524	ultraShortReadsPerc	25.23553132840083
32160080_EXO_S33	181003-190524	ultraShortReadsPerc	23.68123080584957
32150313_EXO_S5	181003-190524	ultraShortReadsPerc	24.831610174791045
32151181_EXO_S16	181003-190524	ultraShortReadsPerc	33.11785101781733
32151178_EXO_S15	181003-190524	ultraShortReadsPerc	34.33012366946526
32152087_EXO_S24	181003-190524	ultraShortReadsPerc	35.28262270791327
32151988_EXO_S22	181003-190524	ultraShortReadsPerc	33.16194470194729
32160019_EXO_S31	181003-190524	ultraShortReadsPerc	31.32690960990187
32152030_EXO_S23	181003-190524	ultraShortReadsPerc	19.121094529238405
32151021_EXO_S13	181003-190524	ultraShortReadsPerc	35.18794329127698
32150156_EXO_S1	181003-190524	ultraShortReadsPerc	36.53864566490626
32151970_EXO_S21	181003-190524	ultraShortReadsPerc	29.513326770250686
32151029_EXO_S14	181003-190524	ultraShortReadsPerc	32.582022188192646
32150829_EXO_S9	181003-190524	ultraShortReadsPerc	30.62210427482928
32150792_EXO_S8	181003-190524	ultraShortReadsPerc	21.603116614529373
32151754_EXO_S20	181003-190524	ultraShortReadsPerc	31.890652355711442
32150309_EXO_S4	181003-190524	ultraShortReadsPerc	28.289596655113957
32160185_EXO_S34	181003-190524	ultraShortReadsPerc	28.85075379333311
32151018_EXO_S12	181003-190524	ultraShortReadsPerc	37.75494609895205
32151480_EXO_S17	181003-190524	ultraShortReadsPerc	26.45513667488206
32150697_EXO_S7	181003-190524	ultraShortReadsPerc	28.581433934239197
32152351_EXO_S28	181003-190524	ultraShortReadsPerc	25.137460682741768
32150318_EXO_S6	181003-190524	ultraShortReadsPerc	27.78709637947118
32152200_EXO_S25	181003-190524	ultraShortReadsPerc	31.192835990515007
