name	X32151640_EXO_S32.grp1	X32151675_EXO_S28.grp1	X32151681_EXO_S21.grp1	X32151161_EXO_S19.grp1	X32151113_EXO_S24.grp1	X32140243_EXO_S2.grp1	X32150300_EXO_S4.grp1	X32151662_EXO_S25.grp1	X32150296_EXO_S34.grp1	X32151649_EXO_S7.grp1	X32151808_EXO_S16.grp1	X32152166_EXO_S8.grp1	X180322.190603_Brain_S36.grp1	X32150759_EXO_S26.grp1	X32151206_EXO_S12.grp1	X32151872_EXO_S27.grp1	X32152211_EXO_S35.grp1	X32151109_EXO_S17.grp1	X32152477_EXO_S29.grp1	X32151201_EXO_S23.grp1	X32141753_EXO_S10.grp1	X32150101_EXO_S3.grp1	X32151828_EXO_S15.grp1	X32152118_EXO_S1.grp1	X32151204_EXO_S9.grp1	X32151684_EXO_S13.grp1	X32150228_EXO_S18.grp1	X32152206_EXO_S33.grp1	X32151642_EXO_S5.grp1	X32151157_EXO_S31.grp1	X32151086_EXO_S6.grp1	X32150688_EXO_S20.grp1	X32151947_EXO_S11.grp1	X32151680_EXO_S22.grp1	X32150301_EXO_S14.grp1	X32150744_EXO_S30.grp1
hsa-miR-92a-3p	19306.0153699579	19757.8328929756	13094.9749549869	8867.46180881743	16185.2476654274	10697.6194229748	13123.0711298086	27018.0368134506	13585.871587368	12331.9053816025	17655.8487542837	12760.7966246488	56721.8743078961	25325.2200403165	17681.4092278059	22669.7518128863	13615.5743534899	12728.3687678799	17179.0000894142	7874.56911534635	11965.9288982541	11015.8584466762	13449.8499106156	11783.3556548882	17823.1256659611	19451.6546473943	10046.5166886833	14530.8192848205	12199.842533926	12477.6582576632	13360.2413535077	12785.3638333649	18747.2278148779	11007.5067680849	21284.2351137712	17658.6418623886
hsa-miR-99b-5p	8508.87295415592	5785.19730119217	8137.1359920741	8797.63927488974	14959.896575407	7382.70521758722	7082.2541785188	9637.80691616114	6727.69751475304	9322.84191118093	8976.42826015726	9774.45675952651	34387.8034098462	9412.97622833323	11199.7829917212	9820.52086001084	11375.0368016498	4217.50478840359	12038.7438867562	11189.282504429	10158.3493647362	6145.19537077774	10940.3391306475	11604.735389158	8909.85181291662	9525.64093317383	8666.21494615762	7497.04649336662	6699.1203664023	6134.69085809238	10406.4145842221	13525.0420213334	8268.00816451024	11604.952545483	10473.003316481	7481.8365201369
hsa-miR-200c-3p	3439.11466009851	5941.29327202925	5838.52386528078	139.645067855393	6522.34123506942	4681.43310986541	4401.45525595646	5910.95315553263	12684.7678596344	9155.1114372608	10662.665899558	5042.53622405132	50.3663829484393	6340.14514553024	6561.04075573404	7552.24356776225	6980.1362191942	3959.59981932855	12182.2115625598	4548.52337279675	1269.01987798349	4323.66125529163	7613.1225909145	6346.60131672567	4430.40128554195	5886.43916043217	6314.37034623197	8377.26652700075	4021.95337553264	9025.31679739928	6176.60970814084	2545.82825265162	9193.98459909125	7445.62483277625	10975.7000420792	15632.7037618478
hsa-miR-30e-5p	4435.61910307339	3334.72441069174	4913.68205973	279.290135710785	14038.4711494468	2948.71801406165	6120.66848926667	2624.88635653966	1855.21355709857	4597.19504627294	5105.74640607819	6777.32768401493	5691.40127317364	4469.57248407709	4505.60612951619	4078.21152659161	861.745212246198	5916.64340819209	6711.37774327724	8327.86325402432	4664.42184419787	2736.81438957082	6922.30220766485	3058.87205062944	3344.47388496627	7604.05353763349	4048.09523916675	6177.51519067733	7316.92813352607	8861.22012835565	5046.05557675202	4040.99722643114	2676.72969340631	4031.55029210714	6249.7933019831	5682.04964942387
hsa-miR-125a-5p	6005.86852836715	12204.4248659529	17682.3865634218	36098.250040619	15731.7712777821	12323.7561380035	13474.2254835625	19976.4651013228	19180.0540056959	18447.1673753804	8588.83748043962	14094.1158874948	67483.4914645459	13217.7705264875	18573.6547132777	11192.9458118076	17493.4278085978	8020.33884221595	12341.2299304961	28094.3207887505	18666.9728880938	12639.412805309	13097.3905314066	13229.0634306419	13871.8099983202	10110.8011516266	17245.5439457185	12936.5187520313	15914.1326037423	5086.99674035232	24005.901832754	20825.1913586471	14562.6239274544	17631.2119764638	14790.0624424123	7576.06619923183
hsa-miR-10b-5p	105518.748239452	141862.882979348	128292.975875037	68495.9057830701	100522.207333685	142458.185632177	171351.779831234	224792.534694894	113938.654152884	122583.375218388	138861.147010345	121144.093516941	336.397693519823	184019.795604316	144618.511723755	122369.783795028	201648.37966561	111101.415109385	112899.028152886	91225.4454089414	117641.237859504	130864.017517851	139573.914166766	174255.232986405	123337.170288493	172386.483751577	87015.6172897767	120815.391476738	112120.944532353	128796.950968201	143364.58427126	123447.194401524	134200.803267528	134726.44021393	199270.468745686	75346.0514043006
hsa-let-7f-5p	68919.8577883741	64498.6212982391	64601.5493564303	39379.9091352207	38111.3134297695	59081.8292891454	70196.2363487667	39778.8193527996	60630.8254814411	66427.6371840395	63629.3411718929	72330.8664498605	242395.990529325	48419.189892775	65974.7800592609	77556.3329970784	71611.027137659	80516.9199531919	67428.3027220343	72538.3945419421	57254.4626900943	71199.8992435421	64915.9684627145	50683.5004009403	52430.2174790551	70142.98877431	75995.5830630889	58509.8710560506	82126.2533807097	86043.4572719891	53430.0195234087	75347.0287197823	60360.5075853382	63428.7115856377	59739.1408233416	101108.445668853
hsa-let-7a-5p	134350.272409429	127231.662701617	104453.154478903	123585.885052023	49679.785531616	128004.643132947	135720.195659161	79132.2792876208	108169.143859929	126851.478828489	123377.548603512	130146.269953865	371817.696876514	127149.436220288	128191.384762176	113403.44772475	131588.493909994	128932.256696808	115665.044811562	119791.475410754	128000.773302457	157251.289061976	113943.068110687	123661.042718329	122672.153823645	120475.855468006	152348.583315587	107926.797590422	191857.844982379	100584.946713393	108303.332910264	121263.298943935	109852.177020512	99150.4435639638	109489.391073338	134946.32343184
hsa-miR-423-5p	2221.16478535143	4517.42908860713	4400.97135055198	17944.391219418	7781.46184331877	3276.76567633581	4447.1534252806	3200.11334147404	3637.03405039983	5059.51543483128	4670.25114796849	3956.80094698081	5974.32354776055	1796.31552366389	4040.79761745101	1765.66246170441	86.1745212246198	6589.21911185837	3983.4853620872	7040.22459134222	6212.00706125091	3774.25238596925	4229.51255050806	5470.24563798695	4335.72484200436	4566.16826202492	5583.73852257748	4230.16814712014	4810.96088535335	2246.86208382807	6315.77888890655	5731.18824026885	5555.85860748607	5254.76008606324	3443.61195021549	6756.26799110599
hsa-miR-191-5p	2546.62246538026	2541.96734531692	4067.34141539308	4259.17456958948	2204.66711865882	2538.8810930033	2955.46897186847	3896.5567408582	5361.77104963652	4115.23533007206	5545.596616769	3185.08847755674	19685.1722392801	4158.3997161983	2639.36491775702	2893.29055302892	3705.50441265865	4343.92879285214	6689.80742838368	1787.67875941124	4370.38065295779	1894.94910131014	4053.28286090355	2768.61411881788	2553.98261542956	3034.85597335601	2958.72977236659	3506.50267482202	1362.1544745018	4014.05698122094	4306.42611043541	3304.83294909433	3349.70710214552	3708.30795242817	3269.85171419544	6360.50333890732
