name	180913-190529_Brain_S36	32141643_EXO_S1	32141786_EXO_S2	32150013_EXO_S3	32150076_EXO_S4	32150080_EXO_S5	32150147_EXO_S6	32150163_EXO_S7	32150243_EXO_S8	32150292_EXO_S9	32150424_EXO_S10	32150696_EXO_S11	32150698_EXO_S12	32150825_EXO_S13	32150844_EXO_S14	32150849_EXO_S15	32150993_EXO_S16	32151026_EXO_S17	32151125_EXO_S18	32151152_EXO_S19	32151180_EXO_S20	32151226_EXO_S21	32151444_EXO_S22	32151565_EXO_S23	32151667_EXO_S24	32151691_EXO_S25	32151725_EXO_S26	32151765_EXO_S27	32151859_EXO_S28	32151881_EXO_S29	32151984_EXO_S30	32152084_EXO_S31	32152094_EXO_S32	32152253_EXO_S33	32152273_EXO_S34	32152341_EXO_S35
hsa-miR-6510-3p																											5					5				
hsa-miR-6511a-3p	121				5	1	5							123									15	1					10		1	11	4	1	11	2
hsa-miR-6511a-5p	34																						6									2				
hsa-miR-6511b-3p	258				4	2	10							115									8	6	2		3	1	6	3	1	8	2	3	7	4
hsa-miR-6511b-5p	38																						6									2				
hsa-miR-6512-5p																																4				
hsa-miR-6513-3p	3																										3		1			4		2		1
hsa-miR-6513-5p	2																															1				
hsa-miR-6514-5p	26																												3		2	1		1		
hsa-miR-6515-5p																																		2	3	
hsa-miR-6516-3p	13																																			
hsa-miR-6516-5p	13		7				1																5											2		
hsa-miR-652-3p	2195	166	58	91	502	420	929	252	5		4	773	642	335	2	49	9	1641	336	933	2	4	966	69	39	50	730	26	569	643	199	1251	122	686	413	264
hsa-miR-652-5p	10	2					8	2					1														1		6	3						3
hsa-miR-653-3p	8			5	6	8	3						18							80			26	1			22		5	10	10	65	4	27	16	6
hsa-miR-653-5p	23	1			35	18	10	14				81		88			2	165	197			1	44	2	2	2	28		9	24	14	117	5	29	12	7
hsa-miR-654-3p	1511						1	3																				1			1	2	1		4	
hsa-miR-654-5p	113																																			
hsa-miR-655-3p	662																															1				
hsa-miR-655-5p	5																																			
hsa-miR-656-3p	1868																									1			2			1				
hsa-miR-656-5p	19																																			
hsa-miR-659-5p	7																																			
hsa-miR-660-3p				13	7	5	1	9				38											3		2		8	1	1	10	4	7	1	3	1	1
hsa-miR-660-5p	321	92	12	29	348	234	524	174	1		1	1982	860	235	55	31	112	1438	857	1112	4		506	72	29	7	453	11	302	419	172	1358	132	582	429	138
hsa-miR-662																								2	2								4	4		4
hsa-miR-663a	3																																		4	
hsa-miR-663b	4																																			
hsa-miR-664a-3p	316	27		7	64	57	302	15		327		496	674	172	1			1051	357	533	1		397	16	11	3	161	9	114	148	44	252	21	104	165	102
hsa-miR-664a-5p	266	3	3	4	34	28	58	5				146	84	21	68		61	297	147	38	2		88	2		3	50	2	40	29	31	69	7	47	56	18
hsa-miR-664b-3p	13	5		3		1	6	2										52					26		3		2		12		3	4		5		2
hsa-miR-664b-5p	11				8	3	12											93					30				3		3	10	2	13	2		3	
hsa-miR-665	4																																			
hsa-miR-668-3p	571																									1										
hsa-miR-671-3p	202	4		5	3	14	26			1		37	74	44				184		35	1		6	3	5		27		22	17	8	14		18	12	8
hsa-miR-671-5p	157			3	4	1	14	4				26		74						21				3			7		5	7	1	5	5	7	7	1
hsa-miR-6715a-3p																															1					
hsa-miR-6715b-3p																																				1
hsa-miR-6716-3p	56						3																5						1	4	2	1	1	5		
hsa-miR-6718-5p	15																																			
hsa-miR-6720-3p	3																																			
hsa-miR-6721-5p	19						4																													
hsa-miR-6724-5p	9						1						55														3		4	4		4	3	6		
hsa-miR-6726-3p	24																										7							1		
hsa-miR-6726-5p	7																																			
hsa-miR-6727-5p																																2				
hsa-miR-6730-5p					6																														3	2
hsa-miR-6732-3p	2																						6													
hsa-miR-6733-5p	8																																			
hsa-miR-6734-3p	8																						1													
hsa-miR-6734-5p	9						1					51	36																	5	1	1	1	3	4	2
hsa-miR-6735-5p	2																															1				1
hsa-miR-6736-5p	1				11																															
hsa-miR-6738-3p	1																																			
hsa-miR-6738-5p				13							72						62				54			4	23	5	10	12	2	9	4	4	12	1	15	
hsa-miR-6739-5p	5																																			
hsa-miR-6740-3p	1																																			
hsa-miR-6741-5p																																1				
hsa-miR-6743-3p	2				1																		6								4				3	
hsa-miR-6743-5p																													3							
hsa-miR-6745	8																																			
hsa-miR-6746-5p	6																																			
hsa-miR-6747-3p	7																										1			2		1				
hsa-miR-6748-5p	2																												1							
hsa-miR-6749-3p																															1	2				
hsa-miR-675-3p		3																																		
hsa-miR-6750-5p																																2				
hsa-miR-6754-3p																																		5		
hsa-miR-6756-3p	7																																			
hsa-miR-6757-3p																																1				
hsa-miR-6757-5p																							2						1					3		
hsa-miR-6758-3p	2																																			
hsa-miR-676-3p	39							3															6		1		1			2	6	1		4		1
hsa-miR-676-5p							2																				1					1				
hsa-miR-6760-3p	8																																			
hsa-miR-6760-5p											1																									
hsa-miR-6761-3p	10																		98													1				
hsa-miR-6761-5p	3									83																			1							
hsa-miR-6762-3p	4																															2				
hsa-miR-6762-5p																											3									
hsa-miR-6763-5p					21																		7				1				2					
hsa-miR-6764-5p	2																																			5
hsa-miR-6766-3p	6																																	9		
hsa-miR-6770-3p	2																																			
hsa-miR-6772-3p																													1	2						
hsa-miR-6776-3p												22																								
hsa-miR-6777-5p	4																						7									1				
hsa-miR-6780a-5p	9	6					2																									1				
hsa-miR-6782-5p																																		5		
hsa-miR-6784-3p																				61																
hsa-miR-6786-3p	17																													1				3		
hsa-miR-6788-3p	1																																			
hsa-miR-6788-5p	4					9																								3						
hsa-miR-6789-5p				21																							3					3	3			
hsa-miR-6791-3p																																1				
hsa-miR-6792-3p	1																							2								1				
hsa-miR-6792-5p	2																																			
hsa-miR-6793-3p																																1				
hsa-miR-6793-5p																													4						3	
hsa-miR-6794-3p	39																																			
hsa-miR-6797-3p	9																																			
hsa-miR-6798-3p	2																						1										2			
hsa-miR-6800-3p																																		1		
hsa-miR-6801-3p																																1				
hsa-miR-6802-3p	4																						6						2							
hsa-miR-6803-3p	15					1	1		1														7				1		3	1		3		1		
hsa-miR-6804-5p	3																																			
hsa-miR-6807-5p	2																																			
hsa-miR-6809-5p																					1															
hsa-miR-6810-3p	6	2																					10	3					2			2				3
hsa-miR-6810-5p	4												53																				5			
hsa-miR-6811-5p																													1							
hsa-miR-6813-5p	3																																			
hsa-miR-6814-3p																																1				
hsa-miR-6814-5p																																3				
hsa-miR-6818-3p	8					1	1																										1			
hsa-miR-6820-3p	3																																			
hsa-miR-6820-5p																								3								1				1
hsa-miR-6821-3p																																			1	
hsa-miR-6821-5p	1	7			14																		3			1						5		1		
hsa-miR-6822-5p	1																																			
hsa-miR-6823-5p						4																														
hsa-miR-6824-5p							2																4													
hsa-miR-6825-5p	7						3																													
hsa-miR-6826-3p	2																																			
hsa-miR-6826-5p	6																																			
hsa-miR-6827-3p		7																											1							
hsa-miR-6827-5p	11																															3				
hsa-miR-6833-3p	1																															1				
hsa-miR-6833-5p																																				9
hsa-miR-6834-5p	3																																			
hsa-miR-6836-5p							1																													
hsa-miR-6837-3p	7																													1						
hsa-miR-6837-5p	10																																			
hsa-miR-6838-3p																																			2	
hsa-miR-6839-5p																														2						
hsa-miR-6841-3p	2																																			
hsa-miR-6841-5p	18																																			
hsa-miR-6842-3p	53				3																											1	1			
hsa-miR-6842-5p	3																																			
hsa-miR-6847-5p	4					2																														
hsa-miR-6848-5p	2																																			
hsa-miR-6849-3p																			61																	
hsa-miR-6850-3p																										4										
hsa-miR-6850-5p																																	4			
hsa-miR-6851-5p	3																										2					1				
hsa-miR-6852-5p	3																																			
hsa-miR-6854-5p	3																																			
hsa-miR-6855-3p	24																												3							
hsa-miR-6855-5p	1																																			
hsa-miR-6858-3p	2																																			
hsa-miR-6858-5p	5																						1													
hsa-miR-6859-3p	4																																			
hsa-miR-6859-5p	4																										1									
hsa-miR-6860	2																													2						
hsa-miR-6861-3p																																1				
hsa-miR-6862-3p	6																															1				
hsa-miR-6862-5p	2																																			
hsa-miR-6863					5	2																	6									2		1	4	
hsa-miR-6864-5p	7																														1					
hsa-miR-6865-3p	1																																			
hsa-miR-6865-5p	1																																			
hsa-miR-6866-3p							3																								3				4	
hsa-miR-6866-5p	14																														1					
hsa-miR-6868-3p					4																															
hsa-miR-6869-3p																																1				
hsa-miR-6869-5p		30	87	35	24	1	10	29			55	60		76		22				18		61	10	20	38	19	17	33	6	2	23	6	42	42	17	29
hsa-miR-6873-5p																												4								
hsa-miR-6874-5p																																			5	
hsa-miR-6875-3p									1																				2							
hsa-miR-6875-5p							1																													
hsa-miR-6876-5p																															2					
hsa-miR-6877-5p	22																												2							
hsa-miR-6880-3p														56																						
hsa-miR-6880-5p																																				3
hsa-miR-6881-3p	20																																			
hsa-miR-6881-5p	1																																			
hsa-miR-6882-3p	8																																			
hsa-miR-6882-5p	18																						5							2		2				
hsa-miR-6883-3p	8																													2			1		7	
hsa-miR-6883-5p	2																																			
hsa-miR-6885-3p																							5													
hsa-miR-6885-5p	8																																			
hsa-miR-6886-3p	5																													5						
hsa-miR-6887-5p														25																						
hsa-miR-6891-5p																										3			1			1				6
hsa-miR-6892-5p																													2	2						
hsa-miR-6894-3p	2																																		6	
hsa-miR-6894-5p																													1			1				
hsa-miR-6895-3p	1																																			
hsa-miR-6895-5p	14																										1									
hsa-miR-7-1-3p	354	11			4	12	31	16			1	27						47					12	2	1		20	1	31	32	11	39	3	22	23	4
hsa-miR-7-2-3p	50																						9													
hsa-miR-7-5p	27728	25		17	134	49	41	41	10	241	1	20		117			68	144	1	188		12	21	17	8	25	37	4	37	30	12	96	9	79	18	13
hsa-miR-708-3p	224						2											36					6		1	2			1			15				1
hsa-miR-708-5p	909					1	4																3		4	1	2		8	1	1	12		14	2	
hsa-miR-7111-3p	3																																			
hsa-miR-7112-3p																																				1
hsa-miR-7113-3p																																				4
hsa-miR-7113-5p	12																						2													
hsa-miR-7114-3p	1																					1														
hsa-miR-7151-3p	15																																			
hsa-miR-7151-5p	8																																			
hsa-miR-7152-5p				1																																
hsa-miR-7153-5p										1																										
hsa-miR-7156-3p	19																																			
hsa-miR-7156-5p	3																																			
hsa-miR-7157-3p	1																																			
hsa-miR-7157-5p	6																																			
hsa-miR-7158-3p	5																																			
hsa-miR-7160-3p	4																																			
hsa-miR-744-3p	78																					1			1				3			1	3			
hsa-miR-744-5p	5312	11		33	59	45	79	7		1		67		47				225		219		1	133	25	3	1	45	7	50	47	24	53	10	63	30	21
hsa-miR-758-3p	67																																			
hsa-miR-758-5p	183																																			
hsa-miR-760	1108	3			10	4	17												24				11		1	2	1		9	7	5	13	2	1	18	6
hsa-miR-765	11																										5			1		2		3		1
hsa-miR-766-3p	106	3			4	4	5	1																		2			7	2		22		1	15	4
hsa-miR-766-5p	27																						2				2		4			1				
hsa-miR-767-3p	6																																			
hsa-miR-767-5p	71																																			
hsa-miR-769-3p	162						1																						4							
hsa-miR-769-5p	7525	22	6	14	71	51	64	9	4			124	18		1		3	62	126				90	15	3	2	54		55	71	14	106	7	63	52	26
hsa-miR-770-5p	33																																			
hsa-miR-7704	75					7																				7			2			6	3	3		6
hsa-miR-7705																											5		1	1		5				
hsa-miR-7706	6																		138	32			11				1		9	3	2	8		4	2	1
hsa-miR-7844-5p							2																									3				
hsa-miR-7845-5p																																1				1
hsa-miR-7851-3p	1																																			
hsa-miR-7854-3p	5																																			
hsa-miR-7976	1				6			1															3	2												
hsa-miR-7977	51	1	6			6	1					1										1	1	1	1				1	1	4	6			8	
hsa-miR-7978	14																															1				
hsa-miR-8059																														1						
hsa-miR-8072	3	1																									5						5			
hsa-miR-8079																											3									
hsa-miR-873-3p	81																													1						
hsa-miR-873-5p	188																								1						1					
hsa-miR-874-3p	2367	9	22	1	95	83	98	37		192		403	276		1			519	173	135			155	29	4	5	109		62	108	33	99	16	152	86	48
hsa-miR-874-5p	18					1																								12		2		5		
hsa-miR-876-3p	114				1																															
hsa-miR-877-3p	19																			1			1		3					4		2			1	2
hsa-miR-877-5p	263	14	39	12	45	36	103	9		75		214	74	58	50	40	69	217	377	172			164	10	1	4	70	5	78	76	31	123	5	57	51	35
hsa-miR-885-3p	329																								1		4			1		4				
hsa-miR-885-5p	7291					19	4						1					65		141			43	2			20			6	6	1	2	19	2	3
hsa-miR-887-3p	98					1	6																									2	1	1		
hsa-miR-887-5p	13						3																							8						
hsa-miR-888-5p	1	3	22	2	12	22	29	49					9	44		25		165	2				40	20	1	1	40	8	39	140	25	95	4	151	77	11
hsa-miR-889-3p	1244	1																														3				
hsa-miR-889-5p	18																																			
hsa-miR-890					2		13																4	2			4		2	1	3	1		9	8	2
hsa-miR-891a-3p																																1				
hsa-miR-891a-5p	14	17	23	8	40	90	116	100				204	4	65	1		1	123	2	165	1		190	78	12	11	155	4	73	280	61	198	18	353	220	16
hsa-miR-891b													2										10				3		5	3	4	5		2	1	
hsa-miR-892a	1		10			4	5	4				68								38			11	3					6	6	1	10		8	18	3
hsa-miR-892b					9		4									22														1		5				
hsa-miR-892c-3p																																		2		
hsa-miR-892c-5p							1																													
hsa-miR-9-3p	122841	48	1	42	72	31	267	62			1	708	192	76			4	512	431	177	1		142	12	14	13	239	5	181	309	48	517	35	147	241	48
hsa-miR-9-5p	580167	284	127	116	563	352	1393	309	3	1043	75	2022	1077	625	255	101	257	2496	1095	2247	70	92	974	80	99	64	1226	39	983	1128	209	1516	156	675	1007	299
hsa-miR-92a-1-5p	18	7			3	5	11	2				228											7	1		1	27	6	2	16	6	17	2	6	10	2
hsa-miR-92a-2-5p							1																								3	2				2
hsa-miR-92a-3p	35427	2336	1790	1064	4401	2716	9676	1915	65	2398	2171	31530	17478	8556	3311	1643	1690	29381	14867	19875	71	290	15125	1043	493	329	7840	363	6364	7893	3469	11706	1359	7783	9088	2943
hsa-miR-92b-3p	15401	155	216	125	253	171	734	134	4	2	128	2632	1342	304	105	201	418	2603	1387	2937	6	1	1757	80	39	35	762	24	668	622	290	822	123	431	701	305
hsa-miR-92b-5p	113	4		5	3	1	4					45	60			33		80	140	191			45	4	2	5	11		11	7	7	15		10	1	3
hsa-miR-93-3p	69	1			4	5	21	8				32		75				35	1	90		1	39	1			19		2	15	5	21	7	14	8	5
hsa-miR-93-5p	7106	190	82	98	836	341	1050	204	21	3	4	2642	1858	609	345	108	2	2406	1506	2594	2	26	887	117	44	36	953	47	848	843	337	2026	224	695	510	499
hsa-miR-933	2																																			
hsa-miR-934				23	79	15	62	1				235	85				1	431	75	333			7	6	3		58	3	41	25	12	26	2	26	24	19
hsa-miR-935	520																																			
hsa-miR-937-3p	19				11	1	3													30				2		3			2	4		4			10	2
hsa-miR-939-3p																																		4		
hsa-miR-939-5p	3																										1				1					
hsa-miR-940	183		1		2	5																	4				3			3	1	1		8		
hsa-miR-941	37		5	23	24	2	11	6	2	1	2	58	44				1	11					6		8	6	14		11	13	3	18	2	7	11	7
hsa-miR-942-3p																								2										1	5	
hsa-miR-942-5p	32	2		4	8		2	5				58	206				40	35		22			6				7		10	14	4	5	4	4	7	5
hsa-miR-943																47								2								1				
hsa-miR-944	2		3	20	3																						6				2	3		2	2	2
hsa-miR-95-3p	8150	18	27	17	178	226	191	26		244		1153	416	310	161	14	1	678	527	318	4	2	274	17	17	9	145	12	355	43	71	666	36	102	54	53
hsa-miR-96-3p																														1						
hsa-miR-96-5p	3	5	8	9	41	19	39	17			1	115		59				18					78	2			28		27	56	19	51	13	44	12	17
hsa-miR-98-3p	411	5	13		22	19	38	3				116							131	27			114	5	2		34	3	25	56	20	117	7	32	49	34
hsa-miR-98-5p	35851	289	221	202	1431	807	1962	484	3	936	3	4772	2200	919	441	6	118	2784	1607	1630	92	103	1506	190	68	48	1274	47	841	1100	474	2969	285	1416	1028	581
hsa-miR-9898																							7										1			
hsa-miR-9899		7																																		
hsa-miR-9901	3	1																					18													
hsa-miR-9902								2																								1				
hsa-miR-9903	6																														1					2
hsa-miR-9983-3p	16						4																													
hsa-miR-9985	739	5			242	61	92	40			1	2	3					22	139	5			30	3	6		26		38	42	12	266	17	55	18	24
hsa-miR-99a-3p	19	3										18						60											2	4	1	3		5	3	3
hsa-miR-99a-5p	38807	1136	468	483	3364	2566	6779	1895	27	443	7	5995	3812	2223	821	560	482	9166	4152	5275	134	46	8077	994	416	276	5738	317	5659	6634	2166	10763	1227	6278	5317	1567
hsa-miR-99b-3p	1260	10	60	11	86	58	180	28				476	389	168	5	48	47	611	155	337	1		221	28	14		136	7	139	131	34	208	26	109	74	50
hsa-miR-99b-5p	29490	896	533	676	2503	1983	6723	1099	15	1456	1318	15042	8315	3438	779	1103	946	12780	6929	15609	43	11	9686	553	286	142	4695	200	4969	4994	1775	9349	681	3943	4529	2397

